Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
87,0.02942,0.05996,0.0838,0.1039,0.12983,0.17273,0.21197,0.22537,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724
88,0.03322,0.06648,0.0891,0.11352,0.1545,0.21197,0.22537,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123
89,0.03744,0.07334,0.09408,0.13191,0.19399,0.22537,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871
90,0.04204,0.08004,0.10502,0.15432,0.22537,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494
91,0.04941,0.08332,0.13729,0.22537,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487
92,0.06159,0.12045,0.22537,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699
93,0.0795,0.16536,0.23885,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143
94,0.10346,0.18795,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143,0.89833
95,0.13487,0.25657,0.27509,0.29422,0.31337,0.33199,0.35742,0.38258,0.40703,0.43037,0.45219,0.4721,0.49811,0.52554,0.55448,0.58502,0.61724,0.65123,0.6871,0.72494,0.76487,0.80699,0.85143,0.89833,0.9478

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Preferred Structure Smoker, Residual Standard, Female, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00047,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0005,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00057,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00061,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00065,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00071,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00093,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00104,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00123,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00147,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00167,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00183,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00198,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00211,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00222,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00235,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00248,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00263,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00288,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00315,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00345,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00379,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00416,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00458,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00503,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00553,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00608,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00668,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00736,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00812,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00897,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00991,,,,,,,,,,,,,,,,,,,,,,,,
60,0.01093,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01207,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01331,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01466,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01611,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01767,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01934,,,,,,,,,,,,,,,,,,,,,,,,
67,0.02112,,,,,,,,,,,,,,,,,,,,,,,,
68,0.02299,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02491,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02703,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02939,,,,,,,,,,,,,,,,,,,,,,,,
72,0.03165,,,,,,,,,,,,,,,,,,,,,,,,
73,0.03415,,,,,,,,,,,,,,,,,,,,,,,,
74,0.03684,,,,,,,,,,,,,,,,,,,,,,,,
75,0.03984,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04314,,,,,,,,,,,,,,,,,,,,,,,,
77,0.04684,,,,,,,,,,,,,,,,,,,,,,,,
78,0.0509,,,,,,,,,,,,,,,,,,,,,,,,
79,0.05538,,,,,,,,,,,,,,,,,,,,,,,,
