Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
88,0.04569,0.06497,0.08696,0.12119,0.16796,0.22906,0.24251,0.2541,0.27009,0.28762,0.30736,0.32895,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542
89,0.05049,0.07121,0.09209,0.14541,0.20186,0.24251,0.2541,0.27009,0.28762,0.30736,0.32895,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096
90,0.05546,0.07784,0.10726,0.17466,0.24251,0.2541,0.27009,0.28762,0.30736,0.32895,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843
91,0.06223,0.09035,0.17179,0.24251,0.2541,0.27009,0.28762,0.30736,0.32895,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794
92,0.07343,0.13086,0.24251,0.2541,0.27009,0.28762,0.30736,0.32895,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958
93,0.08993,0.17735,0.2541,0.27009,0.28762,0.30736,0.32895,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348
94,0.11219,0.19726,0.27009,0.28762,0.30736,0.32895,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348,0.89977
95,0.14042,0.27009,0.28762,0.30736,0.32895,0.35209,0.37447,0.3968,0.41866,0.43965,0.45936,0.47743,0.50332,0.53061,0.55939,0.58972,0.6217,0.65542,0.69096,0.72843,0.76794,0.80958,0.85348,0.89977,0.94856

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Loaded CSO Smoker Distinct Smoker, Male, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Ultimate Age: 18. Maximum Ultimate Age: 120.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00083,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00093,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00096,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00099,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
