Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
95,0.17337,0.18803,0.20399,0.21988,0.23617,0.25379,0.27039,0.28433,0.3008,0.32114,0.34618,0.37359,0.40337,0.43551,0.46999,0.5068,0.54592,0.58733,0.63099,0.67687,0.72494,0.77514,0.82741,0.88168,0.93911
96,0.18728,0.20296,0.2192,0.23539,0.25291,0.2697,0.28348,0.29765,0.31608,0.33944,0.3653,0.39366,0.42451,0.45783,0.49362,0.53184,0.57249,0.61552,0.66092,0.70864,0.75863,0.81084,0.86519,0.92454,1
97,0.20161,0.2179,0.23466,0.25207,0.26888,0.28285,0.29674,0.31296,0.33438,0.35843,0.38513,0.41444,0.44635,0.48087,0.51796,0.55762,0.5998,0.64449,0.69164,0.74121,0.79316,0.84739,0.90918,1,
98,0.21623,0.23305,0.25134,0.26805,0.2821,0.29644,0.31223,0.33143,0.35341,0.37815,0.40566,0.43591,0.46889,0.50461,0.54302,0.58411,0.62785,0.67421,0.72313,0.77458,0.82849,0.8933,1,,
99,0.23202,0.25034,0.26767,0.28168,0.29599,0.31223,0.33111,0.3517,0.3751,0.4013,0.43029,0.46204,0.49654,0.53377,0.57368,0.61627,0.66148,0.70925,0.75954,0.81226,0.87716,1,,,

Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Commissioners Standard Ordinary (CSO) Select and Ultimate Table -  Female Smoker.  Basis: Age Last Birthday. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
