Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Table # ,2,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Preferred Select and Ultimate Table - Female Smoker. Basis: Age Last Birthday. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Dates,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00046,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00049,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00052,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00056,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00063,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00068,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00073,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00079,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00086,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00094,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00109,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00115,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00122,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00139,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00151,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00164,,,,,,,,,,,,,,,,,,,,,,,,
44,0.0018,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00197,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00219,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00246,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00279,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00317,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00362,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00412,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00466,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00526,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00591,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00661,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00737,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00815,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00898,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00981,,,,,,,,,,,,,,,,,,,,,,,,
60,0.01061,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01148,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01241,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01335,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01437,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01546,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01665,,,,,,,,,,,,,,,,,,,,,,,,
67,0.01798,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01943,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02103,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02284,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02487,,,,,,,,,,,,,,,,,,,,,,,,
72,0.02709,,,,,,,,,,,,,,,,,,,,,,,,
73,0.0295,,,,,,,,,,,,,,,,,,,,,,,,
74,0.03202,,,,,,,,,,,,,,,,,,,,,,,,
75,0.03487,,,,,,,,,,,,,,,,,,,,,,,,
76,0.0382,,,,,,,,,,,,,,,,,,,,,,,,
77,0.04182,,,,,,,,,,,,,,,,,,,,,,,,
78,0.04577,,,,,,,,,,,,,,,,,,,,,,,,
79,0.05007,,,,,,,,,,,,,,,,,,,,,,,,
80,0.05543,,,,,,,,,,,,,,,,,,,,,,,,
81,0.06202,,,,,,,,,,,,,,,,,,,,,,,,
82,0.0689,,,,,,,,,,,,,,,,,,,,,,,,
83,0.07604,,,,,,,,,,,,,,,,,,,,,,,,
84,0.08356,,,,,,,,,,,,,,,,,,,,,,,,
85,0.09063,,,,,,,,,,,,,,,,,,,,,,,,
86,0.09886,,,,,,,,,,,,,,,,,,,,,,,,
87,0.10909,,,,,,,,,,,,,,,,,,,,,,,,
88,0.11948,,,,,,,,,,,,,,,,,,,,,,,,
89,0.12914,,,,,,,,,,,,,,,,,,,,,,,,
90,0.13485,,,,,,,,,,,,,,,,,,,,,,,,
91,0.13963,,,,,,,,,,,,,,,,,,,,,,,,
92,0.1494,,,,,,,,,,,,,,,,,,,,,,,,
93,0.16314,,,,,,,,,,,,,,,,,,,,,,,,
94,0.1824,,,,,,,,,,,,,,,,,,,,,,,,
95,0.20435,,,,,,,,,,,,,,,,,,,,,,,,
96,0.2243,,,,,,,,,,,,,,,,,,,,,,,,
97,0.2353,,,,,,,,,,,,,,,,,,,,,,,,
98,0.23853,,,,,,,,,,,,,,,,,,,,,,,,
99,0.24988,,,,,,,,,,,,,,,,,,,,,,,,
100,0.26771,,,,,,,,,,,,,,,,,,,,,,,,
101,0.28969,,,,,,,,,,,,,,,,,,,,,,,,
102,0.31343,,,,,,,,,,,,,,,,,,,,,,,,
103,0.33886,,,,,,,,,,,,,,,,,,,,,,,,
104,0.36802,,,,,,,,,,,,,,,,,,,,,,,,
105,0.40134,,,,,,,,,,,,,,,,,,,,,,,,
106,0.43542,,,,,,,,,,,,,,,,,,,,,,,,
107,0.47002,,,,,,,,,,,,,,,,,,,,,,,,
108,0.5052,,,,,,,,,,,,,,,,,,,,,,,,
109,0.54149,,,,,,,,,,,,,,,,,,,,,,,,
110,0.57784,,,,,,,,,,,,,,,,,,,,,,,,
111,0.61295,,,,,,,,,,,,,,,,,,,,,,,,
112,0.64651,,,,,,,,,,,,,,,,,,,,,,,,
113,0.68104,,,,,,,,,,,,,,,,,,,,,,,,
114,0.72372,,,,,,,,,,,,,,,,,,,,,,,,
115,0.76443,,,,,,,,,,,,,,,,,,,,,,,,
116,0.80687,,,,,,,,,,,,,,,,,,,,,,,,
117,0.8518,,,,,,,,,,,,,,,,,,,,,,,,
118,0.89387,,,,,,,,,,,,,,,,,,,,,,,,
119,0.93776,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
